"g4-175","末","マツ","すえ"
"g4-176","満","マン","み"
"g4-177","未","ミ",
"g4-179","民","ミン","たみ"
"g4-180","無","ム","な"
"g4-181","約","ヤク",
"g4-182","勇","ユウ","いさ"
"g4-183","要","ヨウ","かなめ"
"g4-184","養","ヨウ","やしな"
"g4-185","浴","ヨク","あ"
"g4-186","利","リ","き"
"g4-187","陸","リク",
"g4-188","良","リョウ","よ"
"g4-189","料","リョウ",
"g4-190","量","リョウ","はか"
"g4-191","輪","リン","わ"
"g4-192","類","ルイ","たぐ"
"g4-193","令","レイ",
"g4-194","冷","レイ","つめ"
"g4-195","例","レイ","たと"
"g4-197","連","レン","つら"
"g4-198","老","ロウ","お"
"g4-199","労","ロウ",
"g4-200","録","ロク",
"g4-032","媛","エン","ひめ"
"g4-033","岡","コウ","おか"
"g4-053","賀","ガ",
"g4-065","潟","セキ","がた"
"g4-067","岐","キ",
"g4-083","熊","ユウ","くま"
"g4-100","群","グン","む"
"g4-102","香","コウ","かお"
"g4-132","佐","サ",
"g4-134","埼","キ","さい"
"g4-137","滋","ジ",
"g4-144","鹿","ロク","しか"
"g4-156","縄","ジョウ","なわ"
"g4-178","井","セイ","い"
"g4-196","沖","チュウ","おき"
"g4-201","徳","トク",
"g4-202","栃",,"とち"
"g4-040","奈","ナ",
"g4-147","梨","リ","なし"
"g4-148","阪","ハン","さか"
"g4-156","阜","フ",
"g4-165","富","フ","とみ"
"g4-075","崎","キ","さき"
"g4-203","城","ジョウ","しろ"
